Depth,Calcite,Dolomite,Pyrite,Porosity,Bulk_Porosity,Volume_Closure,RMSE
3098.5,0.2923,0.0,0.3624,0.3453,0.3304,1.0,0.4958
3098.6,0.3588,0.0,0.3318,0.3094,0.2967,1.0,0.4348
3098.7,0.3688,0.0,0.329,0.3022,0.2907,1.0,0.4267
3098.8,0.364,0.0,0.3325,0.3035,0.2926,1.0,0.4353
3098.9,0.3548,0.0,0.3386,0.3066,0.2962,1.0,0.4483
3099.0,0.344,0.0,0.3458,0.3102,0.3009,1.0,0.4595
3099.1,0.3328,0.0,0.3539,0.3133,0.3049,1.0,0.4691
3099.2,0.3179,0.0,0.3645,0.3176,0.3094,1.0,0.4818
3099.3,0.2961,0.0,0.3782,0.3258,0.3182,1.0,0.4987
3099.4,0.2756,0.0,0.3908,0.3336,0.3264,1.0,0.5146
3099.5,0.2672,0.0,0.3965,0.3363,0.3295,1.0,0.5206
3099.6,0.2732,0.0,0.3944,0.3324,0.3253,1.0,0.5158
3099.7,0.2803,0.0,0.3912,0.3285,0.3213,1.0,0.5095
3099.8,0.2811,0.0,0.3913,0.3275,0.32,1.0,0.5087
3099.9,0.2729,0.0,0.3961,0.3311,0.323,1.0,0.5147
3100.0,0.2637,0.0,0.4012,0.3351,0.3264,1.0,0.521
3100.1,0.2612,0.0,0.4021,0.3367,0.3283,1.0,0.5209
3100.2,0.2702,0.0,0.3964,0.3334,0.3252,1.0,0.5119
3100.3,0.287,0.0,0.3866,0.3265,0.3183,1.0,0.498
3100.4,0.3025,0.0,0.3774,0.3201,0.312,1.0,0.485
3100.5,0.3121,0.0,0.372,0.316,0.3075,1.0,0.4774
3100.6,0.317,0.0,0.3692,0.3138,0.3044,1.0,0.4734
3100.7,0.3193,0.0,0.367,0.3137,0.3041,1.0,0.4685
3100.8,0.329,0.0,0.3601,0.3109,0.3008,1.0,0.4558
3100.9,0.3459,0.0,0.3488,0.3054,0.2946,1.0,0.4349
3101.0,0.3657,0.0,0.3355,0.2988,0.2869,1.0,0.41
3101.1,0.3821,0.0,0.3236,0.2943,0.2812,1.0,0.3857
3101.2,0.3918,0.0,0.3154,0.2928,0.2781,1.0,0.368
3101.3,0.3926,0.0,0.3121,0.2954,0.2792,1.0,0.3615
3101.4,0.3867,0.0,0.3131,0.3001,0.2818,1.0,0.3684
3101.5,0.3728,0.0,0.3192,0.3079,0.2881,1.0,0.3867
3101.6,0.3502,0.0,0.3295,0.3204,0.3018,1.0,0.4085
3101.7,0.3288,0.0,0.3398,0.3314,0.3143,1.0,0.426
3101.8,0.3111,0.0,0.3483,0.3406,0.3245,1.0,0.4355
3101.9,0.297,0.0,0.3542,0.3488,0.3336,1.0,0.4367
3102.0,0.2926,0.0,0.3553,0.3521,0.3358,1.0,0.4316
3102.1,0.2943,0.0,0.3528,0.353,0.336,1.0,0.4231
3102.2,0.3023,0.0,0.3476,0.3502,0.3318,1.0,0.4146
3102.3,0.3115,0.0,0.3427,0.3458,0.3263,1.0,0.4103
3102.4,0.3114,0.0,0.3422,0.3464,0.3256,1.0,0.4074
3102.5,0.3105,0.0,0.3429,0.3465,0.3245,1.0,0.4076
3102.6,0.3054,0.0,0.3456,0.349,0.3271,1.0,0.4093
